pitch,position,length
4,2,0.0625
2,2.1875,0.0625
0,2.375,0.0625
2,2.5625,0.0625
0,2.75,0.125
2,2.875,0.125
4,3,0.0625
2,3.1875,0.0625
0,3.375,0.0625
2,3.5625,0.0625
0,3.75,0.125
2,3.875,0.125
4,4,0.0625
2,4.1875,0.0625
0,4.375,0.0625
2,4.5625,0.0625
0,4.75,0.125
4,4.875,0.25
0,5.125,0.125
4,5.25,0.125
0,5.375,0.25
2,5.625,0.125
4,5.75,0.125
0,5.875,0.125
4,6,0.0625
2,6.1875,0.0625
0,6.375,0.0625
2,6.5625,0.0625
0,6.75,0.125
2,6.875,0.125
4,7,0.0625
2,7.1875,0.0625
0,7.375,0.0625
2,7.5625,0.0625
0,7.75,0.125
2,7.875,0.125
4,8,0.041666667
2,8.041666667,0.041666667
0,8.083333333,0.041666667
4,8.125,0.041666667
2,8.166666667,0.041666667
0,8.208333333,0.041666667
4,8.25,0.041666667
2,8.291666667,0.041666667
0,8.333333333,0.041666667
4,8.375,0.041666667
2,8.416666667,0.041666667
0,8.458333333,0.041666667
4,8.5,0.041666667
2,8.541666667,0.041666667
0,8.583333333,0.041666667
4,8.625,0.041666667
2,8.666666667,0.041666667
0,8.708333333,0.041666667
4,8.75,0.041666667
2,8.791666667,0.041666667
0,8.833333333,0.041666667
4,8.875,0.041666667
2,8.916666667,0.041666667
0,8.958333333,0.041666667
4,9,0.041666667
2,9.041666667,0.041666667
0,9.083333333,0.041666667
4,9.125,0.041666667
2,9.166666667,0.041666667
0,9.208333333,0.041666667
4,9.25,0.041666667
2,9.291666667,0.041666667
0,9.333333333,0.041666667
4,9.375,0.041666667
2,9.416666667,0.041666667
0,9.458333333,0.041666667
4,9.5,0.041666667
2,9.541666667,0.041666667
0,9.583333333,0.041666667
4,9.625,0.041666667
2,9.666666667,0.041666667
0,9.708333333,0.041666667
4,9.75,0.041666667
2,9.791666667,0.041666667
0,9.833333333,0.041666667
4,10,0.0625
2,10.1875,0.0625
0,10.375,0.0625
2,10.5625,0.0625
0,10.75,0.125
2,10.875,0.125
4,11,0.0625
2,11.1875,0.0625
0,11.375,0.0625
2,11.5625,0.0625
0,11.75,0.125
2,11.875,0.125
5,12,0.0625
5,12.1875,0.0625
5,12.375,0.0625
4,12.5625,0.0625
2,12.75,0.125
4,12.875,0.125
2,13,0.0625
0,13.1875,0.0625
2,13.375,0.0625
4,13.5625,0.0625
0,13.75,0.125
2,13.875,0.125
4,14,0.0625
2,14.1875,0.0625
0,14.375,0.0625
2,14.5625,0.0625
0,14.75,0.125
2,14.875,0.125
4,15,0.0625
2,15.1875,0.0625
0,15.375,0.0625
2,15.5625,0.0625
0,15.75,0.125
2,15.875,0.125
4,16,0.041666667
2,16.04166667,0.041666667
0,16.08333333,0.041666667
4,16.125,0.041666667
2,16.16666667,0.041666667
0,16.20833333,0.041666667
4,16.25,0.041666667
2,16.29166667,0.041666667
0,16.33333333,0.041666667
4,16.375,0.041666667
2,16.41666667,0.041666667
0,16.45833333,0.041666667
4,16.5,0.041666667
2,16.54166667,0.041666667
0,16.58333333,0.041666667
4,16.625,0.041666667
2,16.66666667,0.041666667
0,16.70833333,0.041666667
4,16.75,0.041666667
2,16.79166667,0.041666667
0,16.83333333,0.041666667
4,16.875,0.041666667
2,16.91666667,0.041666667
0,16.95833333,0.041666667
0,17,0.375
1,17.25,0.125
2,17.375,0.375
0,18,2
1,18,2
1,20,0.75
2,20,0.75
3,20,0.75
2,21.125,0.125
3,21.375,0.125
1,21.625,0.125
2,21.625,0.125
3,21.625,0.125
0,22,1
2,22,1
3,22,1
1,23,1
2,23,1
3,23,1
0,24,0.75
1,24,0.75
2,24,0.75
2,24.875,0.375
1,25,0.25
1,25.5,0.25
2,25.5,0.25
1,26,0.0625
1,26.125,0.0625
1,26.25,0.0625
1,26.375,0.0625
1,26.5,0.0625
1,26.625,0.0625
1,26.75,0.0625
1,26.875,0.0625
1,27,0.0625
1,27.125,0.0625
1,27.25,0.0625
1,27.375,0.0625
1,27.5,0.0625
1,27.625,0.0625
1,27.75,0.0625
1,27.875,0.0625
0,28,0.0625
0,28.125,0.0625
0,28.25,0.0625
0,28.375,0.0625
0,28.5,0.0625
0,28.625,0.0625
0,28.75,0.125
1,28.8125,0.0625
0,28.875,0.125
1,28.9375,0.0625
0,29,0.0625
1,29.0625,0.0625
0,29.125,0.0625
1,29.1875,0.0625
0,29.25,0.0625
1,29.3125,0.0625
0,29.375,0.0625
1,29.4375,0.0625
0,29.5,0.0625
1,29.5625,0.0625
0,29.625,0.0625
1,29.6875,0.0625
0,29.75,0.0625
1,29.8125,0.0625
0,29.875,0.0625
1,29.9375,0.0625
1,30,0.0625
1,30.125,0.0625
1,30.25,0.0625
1,30.375,0.0625
1,30.5,0.0625
1,30.625,0.0625
1,30.75,0.0625
1,30.875,0.0625
0,31,0.0625
0,31.125,0.0625
0,31.25,0.0625
0,31.375,0.0625
0,31.5,0.0625
0,31.625,0.0625
0,31.75,0.0625
0,31.875,0.0625
0,32,0.0625
0,32.125,0.0625
0,32.25,0.0625
2,32.375,0.041666667
1,32.41666667,0.041666667
0,32.45833333,0.041666667
2,32.5,0.041666667
1,32.54166667,0.041666667
0,32.58333333,0.041666667
2,32.625,0.041666667
1,32.66666667,0.041666667
0,32.70833333,0.041666667
2,32.75,0.041666667
1,32.79166667,0.041666667
0,32.83333333,0.041666667
2,32.875,0.041666667
1,32.91666667,0.041666667
0,32.95833333,0.041666667
2,33,0.041666667
1,33.04166667,0.041666667
0,33.08333333,0.041666667
2,33.125,0.041666667
1,33.16666667,0.041666667
0,33.20833333,0.041666667
2,33.25,0.041666667
1,33.29166667,0.041666667
0,33.33333333,0.041666667
2,33.375,0.041666667
1,33.41666667,0.041666667
0,33.45833333,0.041666667
2,33.5,0.041666667
1,33.54166667,0.041666667
0,33.58333333,0.041666667
2,33.625,0.041666667
1,33.66666667,0.041666667
0,33.70833333,0.041666667
0,33.75,0.125
1,34,0.25
4,34.25,0.375
3,34.625,0.375
3,35,1
0,36,0.25
3,36.25,0.375
2,36.625,0.375
1,37.125,0.5
0,38,0.25
2,38.25,0.375
1,38.625,0.375
1,39,0.25
3,39.25,0.375
2,39.625,0.375
0,40,0.0625
