pitch,position,length
0,1,0.25
1,1.125,0.125
0,1.375,0.375
1,1.375,0.375
2,1.375,0.375
1,2,0.25
2,2.125,0.125
0,2.375,0.375
2,2.375,0.375
3,2.375,0.375
0,2.75,0.25
2,2.75,0.25
3,2.75,0.25
0,3,0.125
2,3.125,0.125
0,3.375,0.25
2,3.375,0.25
0,3.625,0.125
1,3.625,0.125
1,3.875,0.25
2,3.875,0.25
3,3.875,0.25
0,4.25,0.375
0,5,0.25
1,5.125,0.125
0,5.375,0.375
1,5.375,0.375
2,5.375,0.375
1,6,0.25
2,6.125,0.125
0,6.375,0.375
2,6.375,0.375
3,6.375,0.375
0,6.75,0.25
2,6.75,0.25
3,6.75,0.25
0,7,0.125
1,7.125,0.125
0,7.375,0.25
2,7.375,0.25
1,7.75,0.125
3,7.875,0.125
1,8,0.125
3,8.125,0.125
2,8.25,0.25
3,8.5,0.125
2,8.625,0.125
0,8.75,0.125
0,9,0.125
2,9,0.125
3,9,0.125
0,9.125,0.125
2,9.125,0.125
3,9.125,0.125
0,9.375,0.375
1,9.375,0.375
2,9.375,0.375
0,9.75,0.125
1,10,0.125
2,10,0.125
3,10,0.125
1,10.125,0.125
2,10.125,0.125
3,10.125,0.125
0,10.375,0.375
2,10.375,0.375
3,10.375,0.375
0,10.75,0.25
2,10.75,0.25
3,10.75,0.25
0,11,0.125
2,11.125,0.125
0,11.375,0.25
1,11.375,0.25
1,11.75,0.125
2,12,0.25
3,12,0.25
1,12.25,0.25
2,12.5,0.125
1,12.625,0.125
0,12.75,0.25
0,13,0.125
2,13.125,0.125
3,13.25,0.25
1,13.5,0.25
0,13.75,0.25
2,13.75,0.25
0,14,0.375
2,14,0.375
0,14.5,0.375
2,14.5,0.375
0,15,0.375
1,15,0.375
0,15.5,0.375
2,15.5,0.375
3,15.5,0.375
1,16,0.375
2,16,0.375
3,16,0.375
2,16.5,0.375
3,16.5,0.375
2,17,0.125
3,17,0.125
1,17.125,0.125
0,17.25,0.125
1,17.375,0.125
3,17.5,0.125
2,17.625,0.125
0,17.75,0.625
1,17.75,0.625
2,17.75,0.625
