pitch,position,length
0,0,0.125
2,0,0.125
3,0,0.125
0,0.25,0.125
2,0.25,0.125
3,0.25,0.125
1,0.5,0.125
2,0.5,0.125
3,0.5,0.125
1,0.625,0.125
2,0.625,0.125
3,0.625,0.125
1,0.75,0.125
2,0.75,0.125
3,0.75,0.125
0,1,0.125
1,1,0.125
2,1,0.125
0,1.25,0.125
1,1.25,0.125
2,1.25,0.125
2,1.5,0.125
4,1.5,0.125
2,1.625,0.125
4,1.625,0.125
2,1.75,0.125
4,1.75,0.125
0,2,0.125
2,2,0.125
0,2.25,0.125
2,2.25,0.125
0,2.5,0.125
2,2.5,0.125
0,2.625,0.125
2,2.625,0.125
0,2.75,0.125
2,2.75,0.125
0,3,0.125
1,3,0.125
2,3,0.125
0,3.25,0.125
1,3.25,0.125
2,3.25,0.125
0,3.5,0.125
2,3.5,0.125
3,3.5,0.125
0,3.625,0.125
2,3.625,0.125
3,3.625,0.125
0,3.75,0.125
2,3.75,0.125
3,3.75,0.125
1,4,0.125
2,4,0.125
3,4,0.125
1,4.25,0.125
2,4.25,0.125
3,4.25,0.125
1,4.5,0.125
2,4.5,0.125
3,4.5,0.125
1,4.625,0.125
2,4.625,0.125
3,4.625,0.125
1,4.75,0.125
2,4.75,0.125
3,4.75,0.125
0,5,0.125
1,5,0.125
2,5,0.125
0,5.25,0.125
1,5.25,0.125
2,5.25,0.125
2,5.5,0.125
4,5.5,0.125
2,5.625,0.125
4,5.625,0.125
2,5.75,0.125
4,5.75,0.125
0,6,0.125
2,6,0.125
0,6.25,0.125
2,6.25,0.125
1,6.5,0.125
2,6.5,0.125
3,6.5,0.125
1,6.625,0.125
2,6.625,0.125
3,6.625,0.125
1,6.75,0.125
2,6.75,0.125
3,6.75,0.125
1,7,0.125
2,7,0.125
3,7,0.125
1,7.25,0.125
2,7.25,0.125
3,7.25,0.125
0,7.5,0.125
1,7.5,0.125
2,7.5,0.125
0,7.625,0.125
1,7.625,0.125
2,7.625,0.125
0,7.75,0.125
1,7.75,0.125
2,7.75,0.125
0,8,0.125
2,8,0.125
3,8,0.125
0,8.25,0.125
2,8.25,0.125
3,8.25,0.125
1,8.5,0.125
2,8.5,0.125
3,8.5,0.125
1,8.625,0.125
2,8.625,0.125
3,8.625,0.125
1,8.75,0.125
2,8.75,0.125
3,8.75,0.125
0,9,0.125
1,9,0.125
2,9,0.125
0,9.25,0.125
1,9.25,0.125
2,9.25,0.125
2,9.5,0.125
4,9.5,0.125
2,9.625,0.125
4,9.625,0.125
2,9.75,0.125
4,9.75,0.125
0,10,0.125
2,10,0.125
0,10.25,0.125
2,10.25,0.125
0,10.5,0.125
2,10.5,0.125
0,10.625,0.125
2,10.625,0.125
0,10.75,0.125
2,10.75,0.125
0,11,0.125
1,11,0.125
2,11,0.125
0,11.25,0.125
1,11.25,0.125
2,11.25,0.125
0,11.5,0.125
2,11.5,0.125
3,11.5,0.125
0,11.625,0.125
2,11.625,0.125
3,11.625,0.125
0,11.75,0.125
2,11.75,0.125
3,11.75,0.125
1,12,0.125
2,12,0.125
3,12,0.125
1,12.25,0.125
2,12.25,0.125
3,12.25,0.125
0,12.5,0.125
2,12.5,0.125
0,12.625,0.125
2,12.625,0.125
0,12.75,0.125
2,12.75,0.125
0,13,0.125
2,13,0.125
0,13.25,0.125
2,13.25,0.125
1,13.5,0.125
2,13.5,0.125
3,13.5,0.125
1,13.625,0.125
2,13.625,0.125
3,13.625,0.125
1,13.75,0.125
2,13.75,0.125
3,13.75,0.125
1,14,0.125
2,14,0.125
3,14,0.125
1,14.25,0.125
2,14.25,0.125
3,14.25,0.125
1,14.5,0.125
2,14.5,0.125
3,14.5,0.125
1,14.625,0.125
2,14.625,0.125
3,14.625,0.125
1,14.75,0.125
2,14.75,0.125
3,14.75,0.125
1,15,0.125
2,15,0.125
3,15,0.125
1,15.25,0.125
2,15.25,0.125
3,15.25,0.125
0,15.5,0.5
1,15.5,0.5
2,15.5,0.5
0,16,0.25
1,16.125,0.125
0,16.375,0.375
1,16.375,0.375
2,16.375,0.375
1,17,0.25
2,17.125,0.125
0,17.375,0.375
2,17.375,0.375
3,17.375,0.375
0,17.75,0.25
2,17.75,0.25
3,17.75,0.25
0,18,0.125
2,18.125,0.125
0,18.375,0.25
2,18.375,0.25
0,18.625,0.125
1,18.625,0.125
1,18.875,0.25
2,18.875,0.25
3,18.875,0.25
0,19.25,0.375
